Vehicle_ID,Frame,X,Y
3,0,708,477
3,1,708,478
3,2,708,478
3,3,708,478
3,4,708,479
5,0,707,475
5,1,707,475
5,2,707,475
5,3,707,475
5,4,707,475
6,0,37,331
6,1,44,330
6,2,51,329
7,0,708,475
7,1,708,475
7,2,708,475
8,0,82,329
8,1,107,327
8,2,134,325
8,3,164,323
8,4,191,321
8,5,218,320
8,6,246,319
8,7,274,317
8,8,302,316
8,9,330,314
8,10,358,312
8,11,387,312
8,12,414,312
8,13,443,311
8,14,471,310
8,15,500,309
8,16,527,308
8,17,556,308
8,18,585,308
8,19,613,308
8,20,641,307
8,21,670,306
8,22,699,306
8,23,727,305
8,24,756,305
8,25,786,305
8,26,815,304
8,27,843,305
8,28,872,304
8,29,900,304
8,30,929,303
8,31,957,304
8,32,986,304
8,33,1015,304
8,34,1044,304
8,35,1071,304
8,36,1099,304
8,37,1129,304
8,38,1156,304
8,39,1185,303
8,40,1211,303
8,41,1229,303
8,42,1244,302
8,43,1258,302
8,44,1282,302
8,45,1306,301
9,0,706,476
9,1,706,476
9,2,705,476
9,3,705,476
9,4,706,477
9,5,706,477
9,6,706,477
9,7,706,477
9,8,706,476
9,9,706,476
9,10,706,476
11,0,1241,427
11,1,1231,427
11,2,1222,426
11,3,1210,426
11,4,1196,426
11,5,1178,426
11,6,1157,426
11,7,1136,426
11,8,1115,425
11,9,1094,425
11,10,1074,425
11,11,1053,425
11,12,1033,425
11,13,1012,425
11,14,991,425
11,15,971,424
11,16,951,424
11,17,929,423
11,18,909,423
11,19,889,423
11,20,868,423
11,21,846,422
11,22,826,421
11,23,806,421
11,24,784,421
11,25,763,420
11,26,743,421
11,27,721,420
11,28,701,420
11,29,680,420
11,30,660,420
11,31,639,420
11,32,618,420
11,33,597,420
11,34,577,420
11,35,556,421
11,36,536,421
11,37,515,422
11,38,493,424
11,39,473,424
11,40,453,426
11,41,432,426
11,42,412,427
11,43,392,427
11,44,373,427
11,45,352,428
11,46,332,429
11,47,311,430
11,48,292,431
11,49,272,432
11,50,253,432
11,51,234,433
11,52,214,434
11,53,195,435
11,54,175,437
11,55,157,437
11,56,137,438
11,57,118,439
11,58,99,440
11,59,79,441
11,60,63,442
11,61,51,442
11,62,42,443
11,63,32,444
11,64,22,445
11,65,14,448
11,66,0,449
11,67,-14,450
12,0,708,478
12,1,707,478
12,2,707,478
12,3,707,478
12,4,708,478
12,5,708,478
12,6,708,477
12,7,708,477
12,8,709,477
12,9,709,478
12,10,709,478
12,11,709,477
12,12,709,477
12,13,709,477
12,14,710,478
12,15,710,478
12,16,710,478
12,17,710,479
13,0,709,478
13,1,709,478
13,2,709,478
13,3,711,477
13,4,711,477
13,5,711,478
13,6,711,478
13,7,710,478
13,8,710,478
13,9,710,478
14,0,710,475
14,1,710,475
14,2,710,474
14,3,710,474
14,4,710,474
14,5,710,474
16,0,709,478
16,1,709,478
16,2,709,478
16,3,709,478
17,0,44,331
17,1,55,330
17,2,65,330
17,3,78,330
17,4,94,330
17,5,115,328
17,6,135,328
17,7,157,326
17,8,180,326
17,9,201,326
17,10,224,324
17,11,245,323
17,12,266,322
17,13,289,321
17,14,309,321
17,15,331,321
17,16,354,319
17,17,374,319
17,18,396,318
17,19,414,318
17,20,436,317
17,21,460,317
17,22,483,316
17,23,503,316
17,24,526,315
17,25,549,315
17,26,569,315
17,27,592,316
17,28,615,315
17,29,637,315
17,30,659,315
17,31,680,314
17,32,704,315
17,33,726,315
17,34,739,314
17,35,760,314
17,36,782,314
17,37,811,314
17,38,835,314
17,39,855,315
17,40,870,315
17,41,889,315
17,42,916,316
17,43,938,316
17,44,956,316
17,45,976,316
17,46,998,316
17,47,1019,316
17,48,1041,318
17,49,1063,318
17,50,1085,319
17,51,1110,320
17,52,1131,321
17,53,1152,321
17,54,1173,321
17,55,1196,322
17,56,1215,322
17,57,1230,323
17,58,1241,324
17,59,1252,325
17,60,1262,326
17,61,1280,327
17,62,1297,327
21,0,32,322
21,1,42,320
21,2,54,319
21,3,64,318
21,4,73,316
21,5,89,316
21,6,108,314
21,7,128,313
21,8,148,312
21,9,168,311
21,10,190,310
21,11,210,309
21,12,230,308
21,13,253,307
21,14,273,306
21,15,293,306
21,16,315,305
21,17,336,304
21,18,356,303
21,19,378,302
21,20,399,302
21,21,420,302
21,22,442,301
21,23,463,301
21,24,484,300
21,25,504,299
21,26,526,298
21,27,547,297
21,28,567,296
21,29,588,295
21,30,611,294
21,31,632,293
21,32,653,294
21,33,675,294
21,34,697,294
21,35,718,293
21,36,739,293
21,37,761,293
21,38,783,293
21,39,804,293
21,40,826,293
21,41,848,293
21,42,869,293
21,43,892,293
21,44,913,293
21,45,935,294
21,46,958,294
21,47,979,294
21,48,1001,294
21,49,1023,294
21,50,1045,295
21,51,1066,295
21,52,1089,296
21,53,1110,296
21,54,1132,297
21,55,1154,297
21,56,1176,297
21,57,1197,298
21,58,1208,298
21,59,1224,298
21,60,1236,299
21,61,1247,300
21,62,1258,301
21,63,1275,301
21,64,1292,302
22,0,32,326
22,1,42,323
22,2,52,322
22,3,63,321
22,4,73,321
22,5,86,320
22,6,103,319
22,7,123,319
22,8,142,318
22,9,161,317
22,10,182,317
22,11,202,315
22,12,222,316
22,13,242,315
22,14,263,314
22,15,283,314
22,16,304,313
22,17,323,312
22,18,344,312
22,19,364,311
22,20,384,310
22,21,404,310
22,22,424,310
22,23,445,309
22,24,465,309
22,25,486,309
22,26,507,309
22,27,527,309
22,28,548,309
22,29,569,309
22,30,589,309
22,31,609,309
22,32,630,309
22,33,651,309
22,34,672,309
22,35,694,309
22,36,714,309
22,37,735,309
22,38,754,309
22,39,776,309
22,40,797,309
22,41,818,310
22,42,839,310
22,43,859,310
22,44,880,311
22,45,901,310
22,46,923,311
22,47,943,312
22,48,964,312
22,49,985,313
22,50,1006,314
22,51,1026,314
22,52,1047,315
22,53,1068,315
22,54,1089,315
22,55,1110,316
22,56,1130,315
22,57,1151,316
22,58,1171,317
22,59,1191,316
22,60,1207,318
22,61,1219,318
22,62,1230,318
22,63,1240,318
22,64,1250,319
22,65,1260,320
22,66,1275,320
22,67,1291,320
24,0,35,339
24,1,46,337
24,2,56,336
24,3,67,335
24,4,78,333
24,5,92,331
24,6,110,329
24,7,131,326
24,8,153,325
24,9,174,323
24,10,197,321
24,11,220,320
24,12,242,319
24,13,263,318
24,14,286,317
24,15,309,316
24,16,329,316
24,17,351,314
24,18,374,314
24,19,396,313
24,20,418,312
24,21,441,312
24,22,462,312
24,23,485,311
24,24,507,310
24,25,528,310
24,26,549,310
24,27,573,309
24,28,595,309
24,29,618,309
24,30,641,308
24,31,662,308
24,32,684,308
24,33,707,308
24,34,730,309
24,35,752,309
24,36,773,309
24,37,796,309
24,38,817,309
24,39,840,309
24,40,863,309
24,41,885,310
24,42,906,310
24,43,928,310
24,44,950,310
24,45,972,310
24,46,994,310
24,47,1016,310
24,48,1038,311
24,49,1059,311
24,50,1082,311
24,51,1104,312
24,52,1125,313
24,53,1148,312
24,54,1170,313
24,55,1191,313
24,56,1205,313
24,57,1218,313
24,58,1228,312
24,59,1239,313
24,60,1249,313
24,61,1259,314
24,62,1276,314
24,63,1292,314
25,0,1239,426
25,1,1228,426
25,2,1217,426
25,3,1208,426
25,4,1199,426
26,0,1164,424
26,1,1139,423
26,2,1118,423
26,3,1095,422
26,4,1073,420
26,5,1052,420
26,6,1030,420
26,7,1006,419
26,8,985,418
26,9,962,418
26,10,940,418
26,11,917,417
26,12,895,417
26,13,874,416
26,14,852,416
26,15,831,416
26,16,810,415
26,17,788,415
26,18,766,414
26,19,743,414
26,20,720,414
26,21,698,413
26,22,676,414
26,23,655,413
26,24,633,413
26,25,610,413
26,26,587,414
26,27,566,414
26,28,543,414
26,29,523,413
26,30,501,414
26,31,479,415
26,32,459,415
26,33,438,416
26,34,417,417
26,35,395,417
26,36,374,418
26,37,352,419
26,38,331,419
26,39,311,421
26,40,289,422
26,41,267,422
26,42,248,424
26,43,226,425
26,44,206,427
26,45,186,428
26,46,165,430
26,47,144,432
26,48,124,433
26,49,103,434
26,50,83,436
26,51,72,436
26,52,55,438
26,53,42,439
26,54,32,439
26,55,22,439
26,56,5,440
26,57,-11,441
